dataset	method	question_id	answer_recall	contain_accuracy	legacy_exact_match	legacy_precision	legacy_recall	legacy_f1	llm_accuracy_score	llm_completeness_score	llm_conciseness_score	llm_total_score	evidence_observed	num_evidence_chunks	silver_scored	silver_hit_at_5	silver_recall_at_5	evidence_mrr	first_hit_rank	target_unit_scored	target_unit_recall_at_5	claim_scored	claim_coverage_at_5	duplicate_evidence_ratio	miss_rate	latency_seconds	llm_calls	search_calls	read_calls	tool_calls	embedding_calls	rerank_calls	input_tokens	output_tokens	total_tokens
agriculture	vanilla_llm	c26122b23139f725f963fad57ef53eb6	0.8163265306122449	0.0	0.0	0.1646090534979424	0.8163265306122449	0.273972602739726	4.0	3.0	2.0	9.0	0	0										0.0		8.5271737575531	1.0	0.0	0.0	0.0	0.0	0.0	23.0	385.0	408.0
agriculture	vanilla_llm	8c86fb6b3378b9072f2522bc2c7297b6	0.25	0.0	0.0	0.1935483870967742	0.25	0.21818181818181817	0.0	0.0	2.0	2.0	0	0										0.0		0.9155263900756836	1.0	0.0	0.0	0.0	0.0	0.0	13.0	40.0	53.0
agriculture	vanilla_llm	44c70611f8120d487deb6aa2ecff2a49	0.6666666666666666	0.0	0.0	0.1978021978021978	0.6666666666666666	0.30508474576271183	3.0	2.0	2.0	7.0	0	0										0.0		2.864626884460449	1.0	0.0	0.0	0.0	0.0	0.0	13.0	119.0	132.0
agriculture	vanilla_llm	27219e023c1979d71f2d87876bd2db65	0.5757575757575758	0.0	0.0	0.22093023255813954	0.5757575757575758	0.31932773109243695	3.0	1.0	3.0	7.0	0	0										0.0		2.4466254711151123	1.0	0.0	0.0	0.0	0.0	0.0	17.0	108.0	125.0
agriculture	vanilla_llm	dc1d2c33767c7b5853671d61efa5a2a3	0.8125	0.0	0.0	0.07807807807807808	0.8125	0.14246575342465753	1.0	1.0	0.0	2.0	0	0										0.0		11.14816689491272	1.0	0.0	0.0	0.0	0.0	0.0	15.0	483.0	498.0
agriculture	vanilla_llm	3a991da31e4b1aac8c9f6a7de5aa9967	0.38461538461538464	0.0	0.0	0.39473684210526316	0.38461538461538464	0.38961038961038963	0.0	0.0	3.0	3.0	0	0										0.0		1.2452583312988281	1.0	0.0	0.0	0.0	0.0	0.0	13.0	49.0	62.0
agriculture	vanilla_llm	38812b9bbd22c9544625f772cb62484d	0.5882352941176471	0.0	0.0	0.21978021978021978	0.5882352941176471	0.32	4.0	2.0	1.0	7.0	0	0										0.0		2.4639394283294678	1.0	0.0	0.0	0.0	0.0	0.0	17.0	108.0	125.0
agriculture	vanilla_llm	0272dfc1f904381a13fe4a81f0df5699	0.5	0.0	0.0	0.5555555555555556	0.5	0.5263157894736842	4.0	3.0	3.0	10.0	0	0										0.0		0.40592432022094727	1.0	0.0	0.0	0.0	0.0	0.0	13.0	14.0	27.0
agriculture	vanilla_llm	106e0d935348e71061cb08e30013ada5	0.5	0.0	0.0	0.11219512195121951	0.5	0.18326693227091634	4.0	3.0	0.0	7.0	0	0										0.0		6.853057622909546	1.0	0.0	0.0	0.0	0.0	0.0	15.0	264.0	279.0
agriculture	vanilla_llm	e9707cb583514e53e446ac1a8986a7d3	0.48148148148148145	0.0	0.0	0.21666666666666667	0.48148148148148145	0.29885057471264365	2.0	0.0	2.0	4.0	0	0										0.0		1.9327192306518555	1.0	0.0	0.0	0.0	0.0	0.0	16.0	81.0	97.0
agriculture	vanilla_llm	b3ce792a93e548bef380166945fbbda9	0.8064516129032258	0.0	0.0	0.08090614886731391	0.8064516129032258	0.14705882352941174	4.0	1.0	0.0	5.0	0	0										0.0		9.862276077270508	1.0	0.0	0.0	0.0	0.0	0.0	22.0	447.0	469.0
agriculture	vanilla_llm	aa0f4587b2a06c7f57d502f1a9f81968	0.7222222222222222	0.0	0.0	0.1187214611872146	0.7222222222222222	0.20392156862745098	4.0	3.0	2.0	9.0	0	0										0.0		6.875555515289307	1.0	0.0	0.0	0.0	0.0	0.0	9.0	289.0	298.0
agriculture	vanilla_llm	20757252703f3209d8e3c060ee68c75a	0.7931034482758621	0.0	0.0	0.12041884816753927	0.7931034482758621	0.2090909090909091	2.0	1.0	2.0	5.0	0	0										0.0		5.6812193393707275	1.0	0.0	0.0	0.0	0.0	0.0	11.0	244.0	255.0
agriculture	vanilla_llm	4c92aea6830be1a9be9583c794dd3d48	0.3333333333333333	0.0	0.0	0.38235294117647056	0.3333333333333333	0.35616438356164387	1.0	0.0	2.0	3.0	0	0										0.0		1.0619783401489258	1.0	0.0	0.0	0.0	0.0	0.0	12.0	44.0	56.0
