dataset	method	method_label	question_id	answer_recall	contain_accuracy	legacy_exact_match	legacy_precision	legacy_recall	legacy_f1	llm_accuracy_score	llm_completeness_score	llm_conciseness_score	llm_total_score	evidence_observed	num_evidence_chunks	silver_scored	silver_hit_at_5	silver_recall_at_5	evidence_mrr	first_hit_rank	target_unit_scored	target_unit_recall_at_5	claim_scored	claim_coverage_at_5	duplicate_evidence_ratio	miss_rate	latency_seconds	llm_calls	search_calls	read_calls	tool_calls	embedding_calls	rerank_calls	input_tokens	output_tokens	total_tokens	cue_topb
agriculture	signpost.full	Signpost topb8	c26122b23139f725f963fad57ef53eb6	0.7551020408163265	0.0	0.0	0.39361702127659576	0.7551020408163265	0.5174825174825175	4.0	2.0	3.0	9.0	1	9	1	1.0	0.5	1.0	1.0	1	0.42857142857142855	1	0.0	0.2222222222222222	0.0	150.62298822402954	2.0	3.0	9.0	12.0	0.0	0.0	3526.0	230.0	3756.0	8
agriculture	signpost.full	Signpost topb8	b3ce792a93e548bef380166945fbbda9	0.6129032258064516	0.0	0.0	0.18095238095238095	0.6129032258064516	0.27941176470588236	3.0	3.0	2.0	8.0	1	9	1	0.0	0.0	0.0		1	0.0	1	0.0	0.2222222222222222	1.0	160.05866265296936	2.0	3.0	9.0	12.0	0.0	0.0	3218.0	268.0	3486.0	8
agriculture	signpost.full	Signpost topb8	c44111b2f9bd210ffa152f3d46866d00	0.36666666666666664	0.0	0.0	0.3333333333333333	0.36666666666666664	0.3492063492063492	4.0	3.0	3.0	10.0	1	9	1	1.0	0.4	1.0	1.0	1	0.8	1	0.6666666666666666	0.11111111111111116	0.0	143.25426292419434	2.0	3.0	9.0	12.0	0.0	0.0	3125.0	173.0	3298.0	8
agriculture	signpost.full	Signpost topb8	9ab0b2ccd9e355e5cca31fa9347743c3	1.0	0.0	0.0	0.5869565217391305	1.0	0.7397260273972603	4.0	3.0	3.0	10.0	1	9	1	1.0	1.0	1.0	1.0	1	1.0	1	1.0	0.4444444444444444	0.0	144.4345498085022	2.0	3.0	9.0	12.0	0.0	0.0	4035.0	192.0	4227.0	8
agriculture	signpost.full	Signpost topb8	983a26b9fce84864edd683c2fcf33e00	0.23333333333333334	0.0	0.0	0.1590909090909091	0.23333333333333334	0.1891891891891892	1.0	1.0	2.0	3.0	1	9	1	0.0	0.0	0.0		1	0.0	1	0.0	0.4444444444444444	1.0	133.23621249198914	2.0	3.0	9.0	12.0	0.0	0.0	2695.0	174.0	2869.0	8
agriculture	signpost.full	Signpost topb8	42facd7b8b5024ceffe461ab7af3d071	0.0	0.0	0.0	0.0	0.0	0.0	2.0	2.0	1.0	2.0	1	9	1	0.0	0.0	0.0		1	0.0	1	0.0	0.4444444444444444	1.0	132.86222863197327	2.0	3.0	9.0	12.0	0.0	0.0	4781.0	147.0	4928.0	8
agriculture	signpost.full	Signpost topb8	c30c252f742c200b69b2f7f206d59676	0.53125	0.0	0.0	0.2361111111111111	0.53125	0.32692307692307687	0.0	2.0	2.0	4.0	1	9	1	1.0	0.5	0.25	4.0	1	0.6	1	0.5	0.0	0.0	164.59111618995667	2.0	3.0	9.0	12.0	0.0	0.0	3580.0	288.0	3868.0	8
agriculture	signpost.full	Signpost topb8	f524ec724389787217ee4e9fa13035b4	0.7142857142857143	0.0	0.0	0.3125	0.7142857142857143	0.43478260869565216	4.0	3.0	3.0	10.0	1	9	1	1.0	0.3333333333333333	0.5	2.0	1	0.42857142857142855	1	0.0	0.2222222222222222	0.0	163.15321588516235	2.0	3.0	9.0	12.0	0.0	0.0	3385.0	256.0	3641.0	8
agriculture	signpost.full	Signpost topb8	4f10bf39a7d9efce270d73a0c6908878	0.7241379310344828	0.0	0.0	0.25609756097560976	0.7241379310344828	0.3783783783783784	4.0	3.0	3.0	10.0	1	9	1	1.0	0.6666666666666666	0.25	4.0	1	1.0	1	1.0	0.0	0.0	184.54274344444275	2.0	3.0	9.0	12.0	0.0	0.0	3911.0	293.0	4204.0	8
agriculture	signpost.full	Signpost topb8	f162cbc4c4c9b8c6aaca55c5019205bd	0.53125	0.0	0.0	0.26153846153846155	0.53125	0.3505154639175258	4.0	3.0	3.0	10.0	1	9	1	1.0	1.0	1.0	1.0	1	1.0	1	1.0	0.4444444444444444	0.0	147.5032811164856	2.0	3.0	9.0	12.0	0.0	0.0	3839.0	208.0	4047.0	8
agriculture	signpost.full	Signpost topb8	8c86fb6b3378b9072f2522bc2c7297b6	1.0	1.0	1.0	1.0	1.0	1.0	4.0	3.0	3.0	10.0	1	9	1	1.0	1.0	1.0	1.0	1	1.0	1	1.0	0.4444444444444444	0.0	128.10322952270508	2.0	3.0	9.0	12.0	0.0	0.0	2994.0	163.0	3157.0	8
agriculture	signpost.full	Signpost topb8	aa0f4587b2a06c7f57d502f1a9f81968	0.5555555555555556	0.0	0.0	0.26666666666666666	0.5555555555555556	0.36036036036036034	4.0	3.0	2.0	9.0	1	9	1	0.0	0.0	0.0		1	0.0	1	0.0	0.2222222222222222	1.0	171.21659874916077	2.0	3.0	9.0	12.0	0.0	0.0	2440.0	216.0	2656.0	8
agriculture	signpost.full	Signpost topb8	1ef9e8d95d9d563380772958622881b7	0.6486486486486487	0.0	0.0	0.26666666666666666	0.6486486486486487	0.37795275590551186	4.0	2.0	2.0	8.0	1	9	1	1.0	0.5	1.0	1.0	1	1.0	1	1.0	0.33333333333333337	0.0	165.5513379573822	2.0	3.0	9.0	12.0	0.0	0.0	1815.0	255.0	2070.0	8
agriculture	signpost.full	Signpost topb8	abddf8b0ac95a0e49c2ee01c0197f894	0.7297297297297297	0.0	0.0	0.313953488372093	0.7297297297297297	0.43902439024390244	3.0	2.0	2.0	7.0	1	9	1	1.0	0.5	1.0	1.0	1	0.42857142857142855	1	0.0	0.4444444444444444	0.0	137.17735290527344	2.0	3.0	9.0	12.0	0.0	0.0	3697.0	252.0	3949.0	8
