dataset	method	question_id	answer_recall	contain_accuracy	legacy_exact_match	legacy_precision	legacy_recall	legacy_f1	llm_accuracy_score	llm_completeness_score	llm_conciseness_score	llm_total_score	evidence_observed	num_evidence_chunks	silver_scored	silver_hit_at_5	silver_recall_at_5	evidence_mrr	first_hit_rank	target_unit_scored	target_unit_recall_at_5	claim_scored	claim_coverage_at_5	duplicate_evidence_ratio	miss_rate	latency_seconds	llm_calls	search_calls	read_calls	tool_calls	embedding_calls	rerank_calls	input_tokens	output_tokens	total_tokens
musique_q100	vanilla_llm	2hop__728887_159109	0.0	0.0	0.0	0.0	0.0	0.0	3.0	2.0	4.0	9.0	0	0	1	0.0	0.0	0.0		1	0.0	1	0.0	0.0	1.0	0.36730098724365234	1.0	0.0	0.0	0.0	0.0	0.0	5.0	12.0	17.0
musique_q100	vanilla_llm	2hop__489265_135304	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	1	0.0	0.0	0.0		1	0.0	1	0.0	0.0	1.0	2.5533087253570557	1.0	0.0	0.0	0.0	0.0	0.0	9.0	78.0	87.0
musique_q100	vanilla_llm	2hop__520259_84477	1.0	1.0	0.0	0.03571428571428571	1.0	0.0689655172413793	4.0	3.0	3.0	10.0	0	0	1	0.0	0.0	0.0		1	0.0	1	0.0	0.0	1.0	1.485809564590454	1.0	0.0	0.0	0.0	0.0	0.0	12.0	37.0	49.0
musique_q100	vanilla_llm	2hop__825300_36090	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	2.0	3.0	0	0	1	0.0	0.0	0.0		1	0.0	1	0.0	0.0	1.0	1.330017328262329	1.0	0.0	0.0	0.0	0.0	0.0	8.0	46.0	54.0
musique_q100	vanilla_llm	2hop__416668_185893	0.5	0.0	0.0	0.2	0.5	0.28571428571428575	0.0	0.0	0.0	0.0	0	0	1	0.0	0.0	0.0		1	0.0	1	0.0	0.0	1.0	0.3928799629211426	1.0	0.0	0.0	0.0	0.0	0.0	14.0	8.0	22.0
musique_q100	vanilla_llm	2hop__305040_124042	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0	0	1	0.0	0.0	0.0		1	0.0	1	0.0	0.0	1.0	2.152515172958374	1.0	0.0	0.0	0.0	0.0	0.0	12.0	77.0	89.0
musique_q100	vanilla_llm	2hop__633571_160837	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	2.0	4.0	0	0	1	0.0	0.0	0.0		1	0.0	1	0.0	0.0	1.0	0.3682570457458496	1.0	0.0	0.0	0.0	0.0	0.0	11.0	11.0	22.0
musique_q100	vanilla_llm	2hop__810899_126906	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0	0	1	0.0	0.0	0.0		1	0.0	1	0.0	0.0	1.0	0.41074681282043457	1.0	0.0	0.0	0.0	0.0	0.0	10.0	12.0	22.0
musique_q100	vanilla_llm	2hop__39607_332836	0.5	0.0	0.0	0.041666666666666664	0.5	0.07692307692307693	0.0	0.0	2.0	2.0	0	0	1	0.0	0.0	0.0		1	0.0	1	0.0	0.0	1.0	0.9714779853820801	1.0	0.0	0.0	0.0	0.0	0.0	12.0	31.0	43.0
musique_q100	vanilla_llm	2hop__259942_126711	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	2.0	0	0	1	0.0	0.0	0.0		1	0.0	1	0.0	0.0	1.0	0.7569551467895508	1.0	0.0	0.0	0.0	0.0	0.0	12.0	32.0	44.0
musique_q100	vanilla_llm	2hop__577934_160012	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0	0	1	0.0	0.0	0.0		1	0.0	1	0.0	0.0	1.0	1.4123249053955078	1.0	0.0	0.0	0.0	0.0	0.0	13.0	50.0	63.0
musique_q100	vanilla_llm	2hop__68158_189357	1.0	1.0	0.0	0.06896551724137931	1.0	0.12903225806451613	4.0	3.0	2.0	9.0	0	0	1	0.0	0.0	0.0		1	0.0	1	0.0	0.0	1.0	1.2373785972595215	1.0	0.0	0.0	0.0	0.0	0.0	10.0	38.0	48.0
musique_q100	vanilla_llm	2hop__136570_49870	0.0	0.0	0.0	0.0	0.0	0.0					0	0	1	0.0	0.0	0.0		1	0.0	1	0.0	0.0	1.0	0.4877190589904785	1.0	0.0	0.0	0.0	0.0	0.0	12.0	17.0	29.0
musique_q100	vanilla_llm	2hop__660798_521995	1.0	1.0	0.0	0.2222222222222222	1.0	0.3636363636363636	4.0	3.0	1.0	8.0	0	0	1	0.0	0.0	0.0		1	0.0	1	0.0	0.0	1.0	0.3746926784515381	1.0	0.0	0.0	0.0	0.0	0.0	11.0	11.0	22.0
musique_q100	vanilla_llm	2hop__131489_52794	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0	0	1	0.0	0.0	0.0		1	0.0	1	0.0	0.0	1.0	1.893808126449585	1.0	0.0	0.0	0.0	0.0	0.0	12.0	63.0	75.0
musique_q100	vanilla_llm	2hop__108854_161698	0.5	0.0	0.0	0.07142857142857142	0.5	0.125	3.0	2.0	3.0	8.0	0	0	1	0.0	0.0	0.0		1	0.0	1	0.0	0.0	1.0	0.7844769954681396	1.0	0.0	0.0	0.0	0.0	0.0	13.0	24.0	37.0
musique_q100	vanilla_llm	2hop__740073_51612	0.5	1.0	0.0	0.05263157894736842	0.5	0.09523809523809525	4.0	3.0	3.0	10.0	0	0	1	0.0	0.0	0.0		1	0.0	1	0.0	0.0	1.0	1.1334073543548584	1.0	0.0	0.0	0.0	0.0	0.0	15.0	33.0	48.0
musique_q100	vanilla_llm	2hop__106102_85837	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	2.0	0	0	1	0.0	0.0	0.0		1	0.0	1	0.0	0.0	1.0	1.6823246479034424	1.0	0.0	0.0	0.0	0.0	0.0	12.0	59.0	71.0
musique_q100	vanilla_llm	2hop__660296_36134	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0	0	1	0.0	0.0	0.0		1	0.0	1	0.0	0.0	1.0	0.5042786598205566	1.0	0.0	0.0	0.0	0.0	0.0	11.0	15.0	26.0
